# G8 closed-world candidate ledger: every row is an explicit retained/removed disposition.
# Frozen G7 rows are copied by ID and disposition; G8 additions are finite named candidates.
id	category	specifier-or-source	current_consumer_reachability	compatibility_proof	qa_proof	future_rung	recreation_cheaper_than_retention	decision_evidence	final_status
protocol:variant:pty:send-raw-keys:invoke	g7-protocol	index.ts:810; send universal.ts:348	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-PTY-INVOKE	removed
protocol:push-no-sender:shell:loading-status	g7-protocol	shell.ts:178	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-LOADING-INVESTIGATE	retained
protocol:broken-call:browserEvaluate	g7-protocol	canvas-rpc.js:338	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G10-BROWSER-CANVAS	routed:G10
protocol:broken-call:browserInfo	g7-protocol	canvas-rpc.js:358	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G10-BROWSER-CANVAS	routed:G10
protocol:broken-call:browserScroll	g7-protocol	canvas-rpc.js:328	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G10-BROWSER-CANVAS	routed:G10
protocol:broken-call:browserWait	g7-protocol	canvas-rpc.js:348	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G10-BROWSER-CANVAS	routed:G10
protocol:broken-call:focusAgentSession	g7-protocol	WorkspaceGraph.tsx:388	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G10-BROWSER-CANVAS	routed:G10
protocol:shell-forward:transport	g7-protocol	ipc.ts:32-42; shell.ts:38-43,148-166	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:agent:${event.kind}	g7-protocol	ipc-misc.ts:206-210; renderer.js:1441	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:create-artifact-tile	g7-protocol	ipc-kernel.ts:212-216; index.ts:1262-1268,1410	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:create-graph-tile	g7-protocol	ipc-knowledge.ts:110-114	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:create-term-tile	g7-protocol	ipc-kernel.ts:306-318; index.ts:1048-1058	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:file-renamed	g7-protocol	ipc-filesystem.ts:134-145,203-214	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:file-selected	g7-protocol	ipc-knowledge.ts:71-72; index.ts:925-927,1076-1078	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:files-deleted	g7-protocol	ipc.ts:91-94	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:folder-selected	g7-protocol	ipc-knowledge.ts:79-83	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:fs-changed	g7-protocol	ipc.ts:66-67; ipc-filesystem.ts:103-104,191-192	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:handoffs-changed	g7-protocol	ipc-kernel.ts:900; index.ts:1259,1366	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:nav-drag-active	g7-protocol	ipc-canvas.ts:44-48,54-58	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:open-browser-tile	g7-protocol	index.ts:957-960	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:open-terminal	g7-protocol	ipc-knowledge.ts:91-95	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:replay:data	g7-protocol	ipc-misc.ts:159-163	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:sessions-changed	g7-protocol	ipc-kernel.ts:301; index.ts:1046; session-canvas-projector.ts:10	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:wikilinks-updated	g7-protocol	ipc-filesystem.ts:148-152	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:workspace-added	g7-protocol	ipc-workspace.ts:315	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:workspace-removed	g7-protocol	ipc-workspace.ts:333-337,356-360	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:spawn-failed	g7-protocol	ipc-kernel.ts:790-796	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:spawn-pending	g7-protocol	ipc-kernel.ts:751-757	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
protocol:shell-forward:inner:spawn-reconciled	g7-protocol	ipc-kernel.ts:769-781	G7 protocol boundary receipt	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-FORWARD-TUNNEL	retained
dependency:collab-electron/package.json#dependencies#@lezer/common	g7-dependency	^1.5.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#@lezer/python	g7-dependency	^1.1.18	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#@parcel/watcher	g7-dependency	2.5.6	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#@postlight/parser	g7-dependency	^2.2.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#dependency-cruiser	g7-dependency	^17.3.8	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#electron-log	g7-dependency	5.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#electron-updater	g7-dependency	6.8.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#front-matter	g7-dependency	4.0.2	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#ignore	g7-dependency	7.0.5	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#node-pty	g7-dependency	^1.1.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#posthog-node	g7-dependency	^5.28.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#qf-bovada-football	g7-dependency	file:../tools/qf-bovada-football	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#qf-kernel	g7-dependency	file:../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#sharp	g7-dependency	0.34.5	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#dependencies#typescript	g7-dependency	5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@blocknote/core	g7-dependency	0.47.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@blocknote/mantine	g7-dependency	0.47.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@blocknote/react	g7-dependency	0.47.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@electron/asar	g7-dependency	3.4.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@electron/notarize	g7-dependency	2.5.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@electron/rebuild	g7-dependency	^4.0.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@octokit/rest	g7-dependency	22.0.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@phosphor-icons/react	g7-dependency	2.1.7	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@posthog/react	g7-dependency	^1.8.2	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@tailwindcss/vite	g7-dependency	4.2.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@tiptap/core	g7-dependency	3.20.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@tiptap/extension-typography	g7-dependency	3.20.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@types/d3	g7-dependency	7.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@types/react	g7-dependency	19.2.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@types/react-dom	g7-dependency	19.2.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@vitejs/plugin-react	g7-dependency	5.1.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@xterm/addon-fit	g7-dependency	^0.11.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@xterm/addon-unicode11	g7-dependency	^0.9.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@xterm/addon-webgl	g7-dependency	^0.19.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#@xterm/xterm	g7-dependency	^6.0.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#app-builder-bin	g7-dependency	4.2.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
dependency:collab-electron/package.json#devDependencies#class-variance-authority	g7-dependency	^0.7.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
dependency:collab-electron/package.json#devDependencies#clsx	g7-dependency	2.1.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
dependency:collab-electron/package.json#devDependencies#d3	g7-dependency	7.9.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#electron	g7-dependency	40.6.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#electron-builder	g7-dependency	26.8.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#electron-vite	g7-dependency	5.0.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#katex	g7-dependency	0.16.33	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#monaco-editor	g7-dependency	^0.55.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#posthog-js	g7-dependency	^1.359.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#react	g7-dependency	19.2.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#react-dom	g7-dependency	19.2.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#react-markdown	g7-dependency	10.1.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#rehype-katex	g7-dependency	7.0.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#rehype-raw	g7-dependency	7.0.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#remark-breaks	g7-dependency	4.0.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#remark-gfm	g7-dependency	4.0.1	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#remark-math	g7-dependency	6.0.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#streamdown	g7-dependency	2.3.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
dependency:collab-electron/package.json#devDependencies#tailwind-merge	g7-dependency	3.5.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
