id	command	bait_red_receipt	restored_green_receipt	cleanup
malformed-missing-review-task-id	bun qa/run.ts hermes-first-turn-synthetic	malformed critic activation refused; exact refusal; no qf_record_evaluation; durable Evaluation/Report counts unchanged; red_exit=1	fresh packaged restore produced exact Director result receipt and Evaluation/Report evidence; exit=0	isolated root cleanup=0
malformed-mismatched-source-work	bun qa/run.ts hermes-first-turn-synthetic	malformed critic activation refused; exact refusal; no qf_record_evaluation; durable Evaluation/Report counts unchanged; red_exit=1	fresh packaged restore produced exact Director result receipt and Evaluation/Report evidence; exit=0	isolated root cleanup=0
malformed-substituted-result-artifact-id	bun qa/run.ts hermes-first-turn-synthetic	malformed critic activation refused; exact refusal; no qf_record_evaluation; durable Evaluation/Report counts unchanged; red_exit=1	fresh packaged restore produced exact Director result receipt and Evaluation/Report evidence; exit=0	isolated root cleanup=0
boundary-dock-admission	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=dock_admission; failure_mechanism=admission_rejected; red_exit=1	restore_dock_admission; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-launch-readiness	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=launch_readiness; failure_mechanism=readiness_missing; red_exit=1	restore_launch_readiness; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-activation-delivery	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=activation_delivery; failure_mechanism=activation_missing; red_exit=1	restore_activation_delivery; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-first-turn	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=first_turn; failure_mechanism=turn_incomplete; red_exit=1	restore_first_turn; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-tool-discovery	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=tool_discovery; failure_mechanism=tool_discovery_missing; red_exit=1	restore_tool_discovery; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-tool-input	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=tool_input; failure_mechanism=tool_schema_ambiguity; red_exit=1	restore_tool_input; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-tool-output	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=tool_output; failure_mechanism=gate2_rejected; red_exit=1	restore_tool_output; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-run-control	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=run_control; failure_mechanism=run_control_failed; red_exit=1	restore_run_control; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-lineage-publication	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=lineage_publication; failure_mechanism=lineage_rejected; red_exit=1	restore_lineage_publication; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
boundary-result-return	bun qa/run.ts hermes-first-turn-synthetic	failed_boundary=result_return; failure_mechanism=result_return_missing; red_exit=1	restore_result_return; failed_boundary=null; failure_mechanism=none; exit=0	remainingGateOwnedProcesses=0
cleanup-launch-failure	bun qa/run.ts hermes-first-turn-synthetic	retained PIDs [42001,42002]; red caught; cleanup_errors=[]	remaining_pids=[]; cleanup_errors=[]; exit=0	isolated root cleanup=0
cleanup-error-receipt	bun qa/run.ts hermes-first-turn-synthetic	cleanup_errors=corrupted; validator red; exit=1	cleanup_errors=[]; validator green	isolated root cleanup=0
cleanup-retry-codes	bun qa/run.ts hermes-first-turn-synthetic	EBUSY, EPERM, ENOTEMPTY, EMFILE, ENFILE each red at attempts=1	all five restored green at attempts=2	isolated retry roots cleanup=0
cleanup-static-rm-routing	bun qa/run.ts hermes-first-turn-synthetic	direct gate-root rmSync bait; red_exit=1	helper-only=true; green	isolated virtual source; zero residue
cleanup-static-mkdtemp-routing	bun qa/run.ts hermes-first-turn-synthetic	2 direct mkdtempSync bait calls; red_exit=1	helper-only=true; green	isolated virtual source; zero residue
cleanup-retained-root	bun qa/run.ts hermes-first-turn-synthetic	retained registered root; roots_remaining=1; red_exit=1	fresh cleanup roots_remaining=0; leaked=[]; exit=0	five pre-existing roots preserved
cleanup-half-born-seat	bun qa/run.ts hermes-first-turn-synthetic	self_exit=false; PID ownership validator red	self_exit=true; pids=[]; validator green	remainingGateOwnedProcesses=0
inherited-g9-report-boundary	bun qa/run.ts hermes-first-turn-synthetic	unknown agent_definition_id: hermes-orchestrator; inherited G9 red	G8 normal report/result identity and boundary ledger green; no index change	current G8 roots=0
amendment-v01-package-candidate	bun qa/run.ts hermes-first-turn-synthetic	candidate/evidence/embedded package SHA mismatch; caught=true; red_exit=1	QF_PRODUCT_CANDIDATE_SHA exact immutable candidate binding; normal_rerun_exit=0	candidate=6a26340162148118c84f0148638bd36a32a3af99; evidence head reported by final native receipt
amendment-v02-task-identity	bun qa/run.ts hermes-first-turn-synthetic	raw task--abc and taask-abc rejected for expected task-abc; each red_exit=1	documented ConPTY transport wrapper accepted; normal_rerun_exit=0	no visible duplication/deletion/substitution repair
amendment-v03-two-path-retention	Get-FileHash -Algorithm SHA256 collab-electron/src/main/sidecar/server.ts; Get-FileHash -Algorithm SHA256 packages/qf-kernel/src/upgrade.ts	any third source path or changed pre-hashed path would be red	pre/post SHA-256 equality true for both Reader-admitted paths; third_path=false	candidate parent=a41afa6def64ea2d353173ab6b49f22360f51a55; candidate=6a26340162148118c84f0148638bd36a32a3af99
amendment-v04-gate-owned-state	bun qa/run.ts golden-g8-kernel-proof	live bait root measured root_delta=1; result_ok=false; red_exit=1	bait removed; actual before/after process/root sets produce process_delta=0 root_delta=0; normal_rerun_exit=0	no literal delta receipt accepted
final-old-selector	bun test src/r15-governed-review.test.ts (cwd=packages/qf-kernel) with old same-millisecond selector bait	old selector chose delivered receipt; expected completion-failed receipt was not selected; red_exit=1	repaired exact payload selector restored; normal rerun exit=0	in-memory test-local bait; no durable residue
final-repaired-repetition	30x bun test src/r15-governed-review.test.ts (cwd=packages/qf-kernel)	N/A; stability loop is not a bait	30/30 exit=0; exact completion-failure receipt asserted	focused test teardown removed temporary roots
final-inherited-g9-report-boundary	bun qa/run.ts hermes-first-turn-synthetic	unknown agent_definition_id: hermes-orchestrator; inherited G9 report-boundary red; not G8 PASS	G8 candidate-bound normal report/result identity remained green; no G9 repair claimed	candidate=61abfa5b23553f86a5c2d95facdf0473310fc44; evidence=754606932dfb23bd0a6e6f432937b1c2bc436739
final-inherited-g12-package-operations	candidate-bound packaged receipt and G12 ownership review	inherited G12 Windows/package/operations reds remain; not G8 PASS	no G8 restoration claimed; G12 remains the owner	product/process/root identity preserved; no package rerun claimed
